"Title","UK Vacancies (thousands) - Total"
"2003 OCT","610"
"2003 NOV","615"
"2003 DEC","613"
"2004 JAN","617"
"2004 FEB","624"
"2004 MAR","631"
"2004 APR","636"
"2004 MAY","641"
"2004 JUN","652"
"2004 JUL","654"
"2004 AUG","654"
"2004 SEP","654"
"2004 OCT","658"
"2004 NOV","662"
"2004 DEC","661"
"2005 JAN","655"
"2005 FEB","642"
"2005 MAR","638"
"2005 APR","642"
"2005 MAY","642"
"2005 JUN","633"
"2005 JUL","624"
"2005 AUG","622"
"2005 SEP","608"
"2005 OCT","606"
"2005 NOV","609"
"2005 DEC","615"
"2006 JAN","612"
"2006 FEB","600"
"2006 MAR","598"
"2006 APR","597"
"2006 MAY","604"
"2006 JUN","607"
"2006 JUL","611"
"2006 AUG","611"
"2006 SEP","618"
"2006 OCT","620"
"2006 NOV","620"
"2006 DEC","619"
"2007 JAN","629"
"2007 FEB","642"
"2007 MAR","648"
"2007 APR","651"
"2007 MAY","658"
"2007 JUN","670"
"2007 JUL","681"
"2007 AUG","683"
"2007 SEP","686"
"2007 OCT","691"
"2007 NOV","687"
"2007 DEC","678"
"2008 JAN","687"
"2008 FEB","697"
"2008 MAR","696"
"2008 APR","679"
"2008 MAY","657"
"2008 JUN","643"
"2008 JUL","624"
"2008 AUG","615"
"2008 SEP","596"
"2008 OCT","562"
"2008 NOV","527"
"2008 DEC","497"
"2009 JAN","478"
"2009 FEB","465"
"2009 MAR","455"
"2009 APR","443"
"2009 MAY","431"
"2009 JUN","430"
"2009 JUL","438"
"2009 AUG","436"
"2009 SEP","432"
"2009 OCT","437"
"2009 NOV","454"
"2009 DEC","463"
"2010 JAN","467"
"2010 FEB","465"
"2010 MAR","469"
"2010 APR","479"
"2010 MAY","484"
"2010 JUN","479"
"2010 JUL","461"
"2010 AUG","455"
"2010 SEP","454"
"2010 OCT","474"
"2010 NOV","483"
"2010 DEC","493"
"2011 JAN","490"
"2011 FEB","484"
"2011 MAR","472"
"2011 APR","461"
"2011 MAY","460"
"2011 JUN","457"
"2011 JUL","462"
"2011 AUG","464"
"2011 SEP","467"
"2011 OCT","462"
"2011 NOV","465"
"2011 DEC","473"
"2012 JAN","473"
"2012 FEB","467"
"2012 MAR","465"
"2012 APR","471"
"2012 MAY","474"
"2012 JUN","479"
"2012 JUL","484"
"2012 AUG","488"
"2012 SEP","491"
"2012 OCT","494"
"2012 NOV","501"
"2012 DEC","501"
"2013 JAN","504"
"2013 FEB","504"
"2013 MAR","516"
"2013 APR","522"
"2013 MAY","533"
"2013 JUN","540"
"2013 JUL","536"
"2013 AUG","548"
"2013 SEP","553"
"2013 OCT","568"
"2013 NOV","573"
"2013 DEC","581"
"2014 JAN","595"
"2014 FEB","615"
"2014 MAR","637"
"2014 APR","653"
"2014 MAY","662"
"2014 JUN","670"
"2014 JUL","682"
"2014 AUG","687"
"2014 SEP","703"
"2014 OCT","704"
"2014 NOV","708"
"2014 DEC","708"
"2015 JAN","719"
"2015 FEB","727"
"2015 MAR","727"
"2015 APR","727"
"2015 MAY","732"
"2015 JUN","742"
"2015 JUL","743"
"2015 AUG","742"
"2015 SEP","743"
"2015 OCT","743"
"2015 NOV","745"
"2015 DEC","747"
"2016 JAN","743"
"2016 FEB","744"
"2016 MAR","744"
"2016 APR","747"
"2016 MAY","750"
"2016 JUN","749"
"2016 JUL","754"
"2016 AUG","755"
"2016 SEP","758"
"2016 OCT","755"
"2016 NOV","757"
"2016 DEC","759"
"2017 JAN","770"
"2017 FEB","777"
"2017 MAR","792"
"2017 APR","784"
"2017 MAY","781"
"2017 JUN","781"
"2017 JUL","790"
"2017 AUG","798"
"2017 SEP","805"
"2017 OCT","816"
"2017 NOV","821"
"2017 DEC","828"
"2018 JAN","819"
"2018 FEB","818"
"2018 MAR","816"
"2018 APR","820"
"2018 MAY","828"
"2018 JUN","834"
"2018 JUL","839"
"2018 AUG","843"
"2018 SEP","857"
"2018 OCT","858"
"2018 NOV","857"
"2018 DEC","865"
"2019 JAN","852"
"2019 FEB","850"
"2019 MAR","843"
"2019 APR","836"
"2019 MAY","819"
"2019 JUN","817"
"2019 JUL","811"
"2019 AUG","816"
"2019 SEP","804"
"2019 OCT","803"
"2019 NOV","811"
"2019 DEC","822"
"2020 JAN","826"
"2020 FEB","801"
"2020 MAR","642"
"2020 APR","473"
"2020 MAY","326"
"2020 JUN","365"
"2020 JUL","423"
"2020 AUG","488"
"2020 SEP","524"
"2020 OCT","553"
"2020 NOV","601"
"2020 DEC","626"
"2021 JAN","628"
"2021 FEB","634"
"2021 MAR","668"
"2021 APR","767"
"2021 MAY","864"
"2021 JUN","964"
"2021 JUL","1046"
"2021 AUG","1121"
"2021 SEP","1186"
"2021 OCT","1214"
"2021 NOV","1241"
"2021 DEC","1264"
"2022 JAN","1281"
"2022 FEB","1293"
"2022 MAR","1297"
"2022 APR","1302"
"2022 MAY","1299"
"2022 JUN","1275"
"2022 JUL","1257"
"2022 AUG","1244"
"2022 SEP","1214"
"2022 OCT","1171"
"2022 NOV","1151"
"2022 DEC","1138"
"2023 JAN","1130"
"2023 FEB","1119"
"2023 MAR","1085"
"2023 APR","1052"
"2023 MAY","1032"
"2023 JUN","1015"
"2023 JUL","993"
"2023 AUG","981"
"2023 SEP","957"
